most canyons	flowing rivers over	long periods of time
environment	is cold at	northern lattitude below 0 degrees celsius during most of year
example	is	chimpanzee digging for insects with stick
tidal range	is measure of	vertical distance from high tide to low tide
environment	is cold at	lattitude below 0 degrees celsius
winter solstice	is on	December 21st in hemisphere
rainbow	is	formed by refraction by splitting light into different colors
environment	is cold at	northern lattitude below 0 degrees celsius
most chloroplasts	are found in	leaves
range	is measure of	vertical distance from high tide to tide
rocks	are source of	shelter for small animals in environment
one day	is equal to	24 hours
animal	will fly more as	weight of animal
toaster	converts energy for	toasting
summer solstice	is on	June 21st in northern hemisphere
looseness	has	positive impact on plant 's roots ' growth
environment	is cold at	lattitude below 0 degrees celsius during most
most canyons	flowing rivers over	periods of time
object is moving	can cause	that object 's speed increase in motion
environment	is cold at	northern lattitude below 0 degrees celsius during most
arctic environment	is cold at	northern lattitude below 0 degrees celsius
animal	will fly more easily as	weight
island	is	formed by lava released on ocean floor
environment	is cold at	northern lattitude
day	is equal to	24 hours
range	is measure of	distance from tide to low tide
winter	is in	northern hemisphere
stage	is in	metamorphosis process of animals
tidal range	is measure of	vertical distance to tide
tree-growth rings	will become as	amount of available water
range	is measure of	distance from tide to tide
exercise	has	positive impact on body 's strength
loss	has	negative impact on organisms in area
water levels	will increase as	amount of water in body of water increases
cavern	is formed by	carbonic acid in groundwater
pupa stage	is stage in	metamorphosis process of animals
sun	is	source of energy for cycles on Earth
range	is measure of	vertical distance to low tide
stars	are away from	far Earth
source	will appear as	distance from source of light increases
most chloroplasts	are found in	leaves of plant
circulatory system	brings oxygen to	rest of body
December	is during	summer in southern hemisphere
arctic environment	is cold at	northern lattitude below 0 degrees
winter solstice	is on	June 21st in southern hemisphere
exercise	has	impact on body 's strength
canyons	flowing over	long periods of time
range	is measure of	vertical distance to tide
tidal range	is measure of	vertical distance to low tide
most canyons	flowing over	periods of time
it	is	night
fog	is formed by	water vapor condensing in air
chloroplast	contains	chlorophyll
desert environment	is usually hot in	temperature
events	usually cause	changes to Earth 's surface
force	will increase as	mass of object increases
range	is measure of	distance from high tide
plant 's roots ' growth	is in	soil
amount	is in	animal 's body
inherited characteristic	is	passed to offspring by genetics
winter solstice	is on	December 21st in northern hemisphere
populations	will increase as	available water
fossils	are	found in place then
natural events	cause	changes to Earth 's surface
different crops	is	planted on field in different years
population	will increase as	number of sources
example	is	salmon returning to their birthplace
most predators	live as	their prey
environment	is cold at	lattitude below 0 degrees celsius during most of year
Earth 's magnetic patterns	finding	locations
stinger	is	used for defense by wasp
sleet	is made of	ice
something	is	raw material then comes directly from source
summer solstice	is on	June 21st in hemisphere
it	is	when born
tidal range	is measure of	distance from high tide to tide
body part	was	then exposed to lot of heat energy
hibernation	is used for	conserving resources
star	is	source of light energy through nuclear reactions
hibernation	is used for	conserving resources by animals
arctic environment	is cold at	lattitude below 0 degrees
xylem	carries water from	roots of plant to leaves
decomposer	is kind of	role in ecosystem
source	will appear as	distance from source
crumple	means	change shape from smooth into compacted by physical force
tidal range	is measure of	distance from high tide to low tide
animal	will fly as	weight of animal decreases
circulatory system	carries oxygen from	digestive systems to rest of body
object 's temperature	moving object from	place
system	carries oxygen from	systems to rest of body
Earth 's surface	is	made
electrical devices	convert electricity into	other forms of energy
tidal range	is measure of	vertical distance from high tide to tide
tidal range	is measure of	distance to low tide
evaporation	will increase as	surface area of body of water increases
producer	is	source of sugar in ecosystem
size	will decrease as	source of light moves overhead of object
sugar	dissolves in	water
range	is measure of	vertical distance from tide to tide
good bacteria	grow on	human 's skin
new season	occurs	four times per year
rock	is made of	minerals
fossil fuels	are	formed by organisms over time
tidal range	is measure of	vertical distance from tide to low tide
inherited characteristic	is	copied from parent by DNA
cavern	is formed by	carbonic acid in groundwater seeping through rock
environment	is cold at	lattitude below 0 degrees
heart	is mostly made of	muscle
long ears	releasing heat by	jackrabbit
dead organisms	are	source of nutrients for decomposers
sound	reflects off of	surface
different areas	is in	sky
January	is during	winter in northern hemisphere
size	will decrease as	source of light moves directly overhead
crops	is	planted on field in different years
animal	will fly more easily as	weight of animal decreases
example	is	chimpanzee digging for insects
water levels	will increase as	amount of water
tree	is source of	food for animals
arctic environment	is cold at	lattitude below 0 degrees celsius
motion	is source of	energy
most canyons	flowing over	long periods of time
arctic environment	is cold at	northern lattitude below 0 degrees celsius during most of year
example	is	kangaroo 's ability crawl into its mother 's pouch
sun	is source of	energy for life
environment	is cold at	northern lattitude below 0 degrees
object 's temperature	moving to	warm place
compass 's needle lines	is with	Earth 's magnetic poles
size	will decrease as	source of light moves directly overhead of object
Earth 's magnetic patterns	are	used
winter	is in	southern hemisphere
range	is measure of	distance from high tide to low tide
object 's temperature	moving object from	cool place
oceans	contains	most of earth 's water
winter solstice	is on	June 21st in hemisphere
compass lines	of needle is	needle points north
sun	is	source of energy for physical cycles on Earth
circulatory system	carries oxygen from	systems to rest of body
plants	control amount in	their leaves through transpiration
inherited characteristic	is	copied from parent to offspring by DNA
water levels	will increase as	amount of water in body
growing fur	keeping warm in	winter
summer solstice	is on	June 21st
decomposer	is kind of	role
slope	is measure of	difference in elevation between one part of land
object is moving	can cause	that object 's speed decrease
seed dispersal	is	when moved from plant
water levels	will increase as	amount in body of water increases
rest	has	positive impact on health
producer	produces	its own food
body part	was	exposed
system	carries oxygen from	systems to rest
dense forest environment	is often dark in	color
