conductor	is vehicle for	flow of electricity
conductor	is vehicle for	flow
electrical conductor	is	vehicle
electrical conductor	is vehicle for	flow of electricity
electrical conductor	is vehicle for	flow
conductor	is	vehicle
bee	is	animal
bee	is	pollinating animal
bee	is	pollinating
bird	is	animal
bird	is	pollinating
bird	is	pollinating animal
example	is	paw print
paw print	is in	rock
example	is	paw print in rock
example	is	footprint
example	is footprint in	rock
footprint	is in	rock
example	is	acid
change	is in	Earth
example	is	clay mixed together
example	is	clay mixed
example	is	bones
example	is bones of	extinct animal
example	is bones of	animal
plants	becoming in	winter
example	is	plants dying
example	is	plants
plants	dying in	winter
example	is	plants dying in winter
salmon	returning to	their birthplace
example	is	salmon returning to their birthplace
example	is	salmon
example	is	salmon returning
bird	building	nest
example	is	bird
example	is	animal fur
animal fur	keeping warm in	winter
example	is	animal thick fur
example	is	animal growing thick fur
example	is	thick fur
animal growing thick fur	keeping warm in	winter
growing thick fur	keeping warm in	winter
fur	keeping warm in	winter
animal thick fur	keeping warm in	winter
animal growing fur	keeping	warm
animal growing thick fur	keeping	warm
thick fur	keeping	warm
growing fur	keeping warm in	winter
growing thick fur	keeping	warm
example	is	growing fur
example	is	fur
animal fur	keeping	warm
fur	keeping	warm
growing fur	keeping	warm
animal growing fur	keeping warm in	winter
example	is	growing thick fur
animal thick fur	keeping	warm
thick fur	keeping warm in	winter
example	is	animal growing fur
example	is	baby bird
example	is using	material more than once
example	avoiding	waste
example	is using	material than once
example	is using	material
example	is using once	object than
example	is using once	object more than
example	is using	object than
example	is using	object more than
example	is using	object
example	avoiding	waste
example	is using once	object
kangaroo 's ability	crawl into	its mother pouch
example	is	kangaroo 's ability crawl into its mother 's pouch
mother	into	pouch drink
example	is	kangaroo 's ability crawl
kangaroo	has	ability crawl into pouch drink
example	is	kangaroo 's ability
example	is	organism looking
organism	looking like	leaves
example	is	organism looking like leaves
example	is	organism
organism	looks like	its environment
something	has	color
something	has	same color
something	has color as	its environment
example	collecting	data
something	is	when color as its environment
something	is same color as	its environment
something	is color as	its environment
something	is	color
something	is	when color
something	is	same color
something	is	when same color
something	is	when same color as its environment
example	is avoiding	waste
example	is turning plant material into	fuel
example	is turning	plant material
example	creating	fuel
example	creating	alternative fuel
something changes color	have color as	its environment
something changes color	have same color as	its environment
example	is	when something changes color
something changes color	have	same color
example	is	something changes color
something changes color	have	color
example	is pouring	one substance
example	combining	two substances
example	combining	substances
example	hitting	something
frog	burying	itself
example	is	frog
frog	burying itself in	mud
otter	cracking clams with	rock
otter	cracking open clams with	rock
otter	cracking	open clams
otter	cracking	clams
example	is directing	boat
birds	flying in	winter
birds	flying south in	winter
example	is body of	water
example	is	body
water vapor	is in	atmosphere
example	is	water vapor
example	is	water vapor in atmosphere
example	is creating	areas
example	protecting	environment
example	is creating	protected areas
example	is strumming	guitar string
example	playing	musical instrument
example	playing	instrument
example	protecting	environment
example	is reducing	amount of pollutants
example	is reducing	amount
example	is hitting	keys
example	playing	instrument
example	playing	musical instrument
example	is hitting	keys of piano
example	protecting	environment
example	is reducing	amount of waste
example	is reducing	amount
example	is	animals
animals	eating	seeds
example	is laying	eggs
example	is using	object
example	is	rain
insect	is	animal
insect	is	pollinating
insect	is	pollinating animal
example	replacing	natural resource
example	replacing	resource
plant root	grows into	crack in rock
plant root	grows into	crack
crack	is in	rock
August	is during	winter in hemisphere
winter	is in	southern hemisphere
August	is during	winter in southern hemisphere
August	is during	winter
December	is during	summer
